Message,Category,Message_Length,Word_Count,Bahasa
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...
",ham,112,20,"Pergi sampai jurong point, gila.. Hanya tersedia di bugis n great world la e buffet... Cine there got amore wat...
"
"Ok lar... Joking wif u oni...
",ham,30,6,"Ok lar... Bercanda denganmu oni...
"
"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
",spam,156,28,"Entri gratis dalam 2 minggu berturut-turut untuk memenangkan tkt final Piala FA 21 Mei 2005. Kirim SMS ke FA ke 87121 untuk menerima pertanyaan masuk (tarif txt std) S&K berlaku 08452810075over18
"
"U dun say so early hor... U c already then say...
",ham,50,11,"Kamu tak bilang pagi-pagi sekali, hor... Kamu sudah bilang...
"
"Nah I don't think he goes to usf, he lives around here though
",ham,62,13,"Tidak, menurutku dia tidak pergi ke usf, dia tinggal di sekitar sini
"
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv
",spam,148,32,"FreeMsg Hai sayang, sudah 3 minggu berlalu dan tidak ada kabar kembali! Aku masih ingin bersenang-senang? Ya oke! XxX std chgs untuk dikirim, £1,50 ke rcv
"
"Even my brother is not like to speak with me. They treat me like aids patent.
",ham,78,16,"Bahkan kakakku pun tidak suka berbicara denganku. Mereka memperlakukan saya seperti alat bantu paten.
"
"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
",ham,161,26,"Sesuai permintaan Anda, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' telah ditetapkan sebagai nada pemanggil Anda untuk semua Penelepon. Tekan *9 untuk menyalin Callertune teman Anda
"
"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
",spam,158,26,"PEMENANG!! Sebagai pelanggan jaringan yang berharga, Anda telah terpilih untuk menerima hadiah hadiah £900! Untuk klaim hubungi 09061701461. Kode klaim KL341. Berlaku 12 jam saja.
"
"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
",spam,155,29,"Apakah ponsel Anda berumur 11 bulan atau lebih? Anda berhak untuk Memperbarui ponsel berwarna terbaru dengan kamera secara Gratis! Hubungi Mobile Update Co GRATIS di 08002986030
"
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.
",ham,110,21,"Aku akan segera pulang dan aku tidak ingin membicarakan hal ini lagi malam ini, oke? Aku sudah cukup menangis hari ini.
"
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info
",spam,137,26,"ENAM peluang memenangkan UANG TUNAI! Dari 100 hingga 20.000 pound txt> CSH11 dan kirim ke 87575. Biaya 150p/hari, 6 hari, 16+ TsandCs berlaku Balas info HL 4
"
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
",spam,156,26,"MENDESAK! Anda telah memenangkan keanggotaan GRATIS 1 minggu di Jackpot Hadiah £100.000 kami! Txt kata : KLAIM ke No : 81010 S&K www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
"
"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
",ham,197,37,"Saya telah mencari kata-kata yang tepat untuk berterima kasih atas nafas ini. Saya berjanji tidak akan menerima begitu saja bantuan Anda dan akan memenuhi janji saya. Anda luar biasa dan menjadi berkah sepanjang waktu.
"
"I HAVE A DATE ON SUNDAY WITH WILL!!
",ham,36,8,"SAYA PUNYA TANGGAL DI HARI MINGGU DENGAN WILAYAH!!
"
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
",spam,150,19,"XXXMobileMovieClub: Untuk menggunakan kredit Anda, klik link WAP di pesan txt berikutnya atau klik di sini>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
"
"Oh k...i'm watching here:)
",ham,27,4,"Oh k...aku menonton di sini :)
"
"Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
",ham,82,19,"Eh, kamu ingat bagaimana aku mengeja namanya... Ya, aku melakukannya. Dia v nakal buat sampai aku v basah.
"
"Fine if thats the way u feel. Thats the way its gota b
",ham,57,13,"Baik jika itu yang kamu rasakan. Begitulah caranya
"
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+
",spam,156,24,"Inggris v Makedonia - jangan lewatkan gol/berita tim. Kirimkan SMS ke tim nasional Anda ke 87077 misalnya INGGRIS ke 87077 Coba:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+
"
"Is that seriously how you spell his name?
",ham,42,8,"Apakah itu serius caramu mengeja namanya?
"
"I‘m going to try for 2 months ha ha only joking
",ham,48,11,"Saya akan mencoba selama 2 bulan ha ha hanya bercanda
"
"So ü pay first lar... Then when is da stock comin...
",ham,53,11,"Jadi ü bayar dulu lar.. Lalu kapan stoknya datang..
"
"Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
",ham,89,20,"Setelah aku selesai makan siang, lalu aku turun ke bawah. Dan 3 kali lagi. Kamu sudah menyelesaikan makan siangmu?
"
"Ffffffffff. Alright no way I can meet up with you sooner?
",ham,58,11,"Fffffffff. Baiklah, tidak mungkin aku bisa bertemu denganmu lebih cepat?
"
"Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
",ham,145,28,"Hanya memaksakan diriku untuk makan sepotong. Aku benar-benar tidak lapar. Ini menyebalkan. Mark semakin khawatir. Dia tahu aku sakit ketika aku menolak pizza. Tertawa terbahak-bahak
"
"Lol your always so convincing.
",ham,31,5,"Loh, kamu selalu meyakinkan.
"
