Category,Bahasa,Cleaned_Bahasa,Length,Count
ham,"Pergi sampai jurong point, gila.. Hanya tersedia di bugis n great world la e buffet... Cine there got amore wat...
",pergi jurong point gila sedia bugis n great world la e buffet cine there got amore wat,86,17
ham,"Ok lar... Bercanda denganmu oni...
",ok lar canda dengan oni,23,5
spam,"Entri gratis dalam 2 minggu berturut-turut untuk memenangkan tkt final Piala FA 21 Mei 2005. Kirim SMS ke FA ke 87121 untuk menerima pertanyaan masuk (tarif txt std) S&K berlaku 08452810075over18
",entri gratis 2 minggu menang tkt final piala fa 21 mei 2005 kirim sms fa 87121 terima masuk tarif txt std s k laku 08452810075over18,132,25
ham,"Kamu tak bilang pagi-pagi sekali, hor... Kamu sudah bilang...
",bilang pagi hor bilang,22,4
ham,"Tidak, menurutku dia tidak pergi ke usf, dia tinggal di sekitar sini
",turut pergi usf tinggal,23,4
spam,"FreeMsg Hai sayang, sudah 3 minggu berlalu dan tidak ada kabar kembali! Aku masih ingin bersenang-senang? Ya oke! XxX std chgs untuk dikirim, £1,50 ke rcv
",freemsg hai sayang 3 minggu kabar senang ya oke xxx std chgs kirim 1 50 rcv,75,16
ham,"Bahkan kakakku pun tidak suka berbicara denganku. Mereka memperlakukan saya seperti alat bantu paten.
",kakak suka bicara dengan laku alat bantu paten,46,8
ham,"Sesuai permintaan Anda, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' telah ditetapkan sebagai nada pemanggil Anda untuk semua Penelepon. Tekan *9 untuk menyalin Callertune teman Anda
",sesuai minta melle melle oru minnaminunginte nurungu vettam tetap nada panggil telepon tekan 9 salin callertune teman,117,17
spam,"PEMENANG!! Sebagai pelanggan jaringan yang berharga, Anda telah terpilih untuk menerima hadiah hadiah £900! Untuk klaim hubungi 09061701461. Kode klaim KL341. Berlaku 12 jam saja.
",menang langgan jaring harga pilih terima hadiah hadiah 900 klaim hubung 09061701461 kode klaim kl341 laku 12 jam,112,18
spam,"Apakah ponsel Anda berumur 11 bulan atau lebih? Anda berhak untuk Memperbarui ponsel berwarna terbaru dengan kamera secara Gratis! Hubungi Mobile Update Co GRATIS di 08002986030
",ponsel umur 11 hak baru ponsel warna baru kamera gratis hubung mobile update co gratis 08002986030,98,16
ham,"Aku akan segera pulang dan aku tidak ingin membicarakan hal ini lagi malam ini, oke? Aku sudah cukup menangis hari ini.
",pulang bicara malam oke menang,30,5
spam,"ENAM peluang memenangkan UANG TUNAI! Dari 100 hingga 20.000 pound txt> CSH11 dan kirim ke 87575. Biaya 150p/hari, 6 hari, 16+ TsandCs berlaku Balas info HL 4
",enam peluang menang uang tunai 100 20 000 pound txt csh11 kirim 87575 biaya 150p 6 16 tsandcs laku balas info hl 4,114,23
spam,"MENDESAK! Anda telah memenangkan keanggotaan GRATIS 1 minggu di Jackpot Hadiah £100.000 kami! Txt kata : KLAIM ke No : 81010 S&K www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
",desak menang anggota gratis 1 minggu jackpot hadiah 100 000 txt klaim no 81010 s k www dbuk net lccltd pobox 4403ldnw1a7rw18,124,22
ham,"Saya telah mencari kata-kata yang tepat untuk berterima kasih atas nafas ini. Saya berjanji tidak akan menerima begitu saja bantuan Anda dan akan memenuhi janji saya. Anda luar biasa dan menjadi berkah sepanjang waktu.
",cari kata terima kasih nafas janji terima bantu penuh janji berkah,66,11
ham,"SAYA PUNYA TANGGAL DI HARI MINGGU DENGAN WILAYAH!!
",tanggal minggu wilayah,22,3
spam,"XXXMobileMovieClub: Untuk menggunakan kredit Anda, klik link WAP di pesan txt berikutnya atau klik di sini>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
",xxxmobilemovieclub kredit klik link wap pesan txt klik http wap xxxmobilemovieclub com n qjkgighjjgcbl,102,14
ham,"Oh k...aku menonton di sini :)
",oh k tonton,11,3
ham,"Eh, kamu ingat bagaimana aku mengeja namanya... Ya, aku melakukannya. Dia v nakal buat sampai aku v basah.
",eh eja nama ya laku v nakal v basah,35,9
ham,"Baik jika itu yang kamu rasakan. Begitulah caranya
",rasa,4,1
spam,"Inggris v Makedonia - jangan lewatkan gol/berita tim. Kirimkan SMS ke tim nasional Anda ke 87077 misalnya INGGRIS ke 87077 Coba:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+
",inggris v makedonia - lewat gol berita tim kirim sms tim nasional 87077 inggris 87077 coba wales scotland 4txt 1 20 poboxox36504w45wq 16,136,23
ham,"Apakah itu serius caramu mengeja namanya?
",serius cara eja nama,20,4
ham,"Saya akan mencoba selama 2 bulan ha ha hanya bercanda
",coba 2 ha ha canda,18,5
ham,"Jadi ü bayar dulu lar.. Lalu kapan stoknya datang..
",bayar lar stok,14,3
ham,"Setelah aku selesai makan siang, lalu aku turun ke bawah. Dan 3 kali lagi. Kamu sudah menyelesaikan makan siangmu?
",selesai makan siang turun 3 kali selesai makan siang,52,9
ham,"Fffffffff. Baiklah, tidak mungkin aku bisa bertemu denganmu lebih cepat?
",fffffffff baik temu dengan cepat,32,5
ham,"Hanya memaksakan diriku untuk makan sepotong. Aku benar-benar tidak lapar. Ini menyebalkan. Mark semakin khawatir. Dia tahu aku sakit ketika aku menolak pizza. Tertawa terbahak-bahak
",paksa diri makan potong benar lapar sebal mark khawatir sakit tolak pizza tertawa bahak,87,14
ham,"Loh, kamu selalu meyakinkan.
",loh,3,1
ham,"Apakah kamu naik bus? Apakah kamu sedang menggoreng telur? Apakah kamu membuat teh? Apakah kamu memakan sisa makan malam ibumu? Apakah kamu merasakan cintaku?
",bus goreng telur teh makan sisa makan malam ibu rasa cinta,58,11
ham,"saya kembali &amp; kami sedang mengemasi mobilnya sekarang, saya akan memberi tahu Anda jika masih ada ruang
",amp emas mobil ruang,20,4
ham,"Ahhh. Bekerja. Aku samar-samar mengingatnya! Seperti apa rasanya? Tertawa terbahak-bahak
",ahhh samar ingat tertawa bahak,30,5
ham,"Tunggu, itu masih belum begitu jelas, apa kamu tidak yakin aku sedang menyindir atau itu sebabnya x tidak mau tinggal bersama kita
",tunggu sindir x tinggal,23,4
ham,"Ya, dia masuk jam 2 dan sangat menyesal. n terjatuh dan dia bertingkah seperti anak manja dan dia terjebak di dalamnya. Sampai jam 2! Tapi kami tidak akan pergi ke sana! Tidak melakukan hal yang terlalu buruk, bersorak. Anda? 
",ya masuk jam 2 sesal n jatuh ting anak manja jebak dalam jam 2 pergi buruk sorak,80,17
ham,"Ceritakan padaku apa pun tentangmu.
",cerita pada tentang,19,3
ham,"Karena takut pingsan karena semua pekerjaan rumah yang baru saja Anda lakukan? Cepat minum secangkir teh
",takut pingsan kerja rumah laku cepat minum cangkir teh,54,9
spam,"Terima kasih telah berlangganan Ringtone UK, ponsel Anda akan dikenakan biaya £5/bulan. Harap konfirmasi dengan membalas YA atau TIDAK. Jika Anda menjawab TIDAK, Anda tidak akan dikenakan biaya
",terima kasih langgan ringtone uk ponsel kena biaya 5 harap konfirmasi balas ya kena biaya,89,15
ham,"Yup... Oke, aku pulang, lihat waktunya, lalu aku kirim pesan lagi... Xuhui akan belajar pada tanggal 2 Mei juga, tetapi pelajarannya jam 8 pagi
",yup oke pulang lihat kirim pesan xuhui ajar tanggal 2 mei ajar jam 8 pagi,73,15
ham,"Ups, aku akan memberitahumu kalau teman sekamarku sudah selesai
",ups memberitahumu teman kamar selesai,37,5
ham,"Saya melihat huruf B di mobil saya
",huruf b mobil,13,3
ham,"Apa pun untuk... Kamu putuskan...
",putus,5,1
ham,"Halo! Bagaimana kabarmu dan bagaimana hari Sabtunya? Aku baru saja mengirim pesan untuk mengetahui apakah kamu memutuskan melakukan sesuatu. Bukannya aku mencoba mengundang diriku sendiri atau apa pun!
",halo kabar sabtu kirim pesan putus coba undang diri,51,9
ham,"Tolong lanjutkan dengan watt. Saya hanya ingin memastikan. Semoga akhir pekanmu menyenangkan. Abiola
",tolong lanjut watt moga pekan senang abiola,43,7
ham,"Apa aku lupa memberitahumu? Aku menginginkanmu, aku membutuhkanmu, aku mendambakanmu... Tapi yang terpenting... Aku mencintaimu, kuda Arabku yang manis... Mmmmmm... Enaknya
",lupa memberitahumu ingin butuh damba penting cinta kuda arab manis mmmmmm enak,78,12
spam,"07732584351 - Rodger Burns - MSG = Kami mencoba menghubungi Anda untuk membalas sms kami untuk ponsel nokia gratis + camcorder gratis. Silakan hubungi sekarang 08000930705 untuk pengiriman besok
",07732584351 - rodger burns - msg coba hubung balas sms ponsel nokia gratis camcorder gratis sila hubung 08000930705 kirim besok,127,20
ham,"SIAPA YANG KAMU LIHAT?
",lihat,5,1
ham,"Besar! Saya harap Anda menyukai pria Anda yang diberkahi dengan baik. Saya &lt;#&gt;  inci...
",harap suka pria kah lt gt inci,30,7
ham,"Tidak ada panggilan..pesan..panggilan tak terjawab
",panggil pesan panggil jawab,27,4
ham,"Bukankah kamu sudah mendapat imunisasi hep b di nigeria.
",imunisasi hep b nigeria,23,4
ham,"Cukup adil, ada apa yang terjadi?
",adil,4,1
ham,"Ya mudah-mudahan, jika tyler tidak bisa melakukannya, aku mungkin bisa bertanya-tanya sedikit
",ya mudah tyler laku,19,4
ham,"Kamu tidak tahu betapa keras kepala aku. Aku bahkan tidak ingin pergi ke rumah sakit. Aku terus mengatakan pada Mark bahwa aku bukanlah orang yang lemah. Rumah sakit diperuntukkan bagi mereka yang lemah.
",betapa keras kepala pergi rumah sakit mark orang lemah rumah sakit untuk lemah,78,13
ham,"Apa yang Anda pikirkan tentang saya. Pertama kali kamu melihatku di kelas.
",pikir kali lihat kelas,22,4
ham,"Satu gram biasanya berjalan seperti &lt;#&gt; , setengah seperdelapan lebih pintar dan memberi Anda hampir satu gram kedua untuk &lt;#&gt;
",gram jalan lt gt delap pintar gram lt gt,40,9
ham,"K fyi x ada tumpangan besok pagi tapi dia mogok di tempat kita malam ini
",k fyi x tumpang besok pagi mogok malam,38,8
spam,"SMS. ac Sptv: The New Jersey Devils dan Detroit Red Wings bermain Hoki Es. Benar atau Salah? Akhir? Jawab AKHIR SPTV
",sms ac sptv the new jersey devils detroit red wings main hoki es salah sptv,75,15
ham,"Tahukah Anda apa yang dilakukan Mallika Sherawat kemarin? Cari tahu sekarang @ &lt;URL&gt;
",tahu mallika sherawat kemarin cari lt url gt,44,8
spam,"Selamat! Tiket masuk bioskop spesial 1 tahun untuk 2 orang adalah milik Anda. hubungi 09061209465 sekarang! C Suprman V, Matrix3, StarWars3, dll semuanya GRATIS! bx420-ip4-5we. 150 malam. Jangan lewatkan! 
",selamat tiket masuk bioskop spesial 1 2 orang milik hubung 09061209465 c suprman v matrix3 starwars3 dll gratis bx420-ip4-5we 150 malam lewat,141,22
ham,"Maaf, saya akan menelepon nanti saat rapat.
",maaf telepon rapat,18,3
ham,"Beritahu di mana Anda mencapainya
",beritahu capa,13,2
ham,"Ya..gauti dan sehwag keluar dari seri odi.
",ya gaut sehwag seri odi,23,5
ham,"Anda harus membeli burger seharga $1 untuk diri Anda sendiri dalam perjalanan pulang. Aku bahkan tidak bisa bergerak. Rasa sakit membunuhku.
",beli burger harga  1 jalan pulang gerak sakit bunuh,51,9
ham,"Ha ha ha lelucon yang bagus. Anak perempuan adalah pencari situasi.
",ha ha ha lelucon bagus anak perempuan cari situasi,50,9
ham,"Itu bagian dari pengecekan IQ
",kece iq,7,2
ham,"Maaf teman sekamarku butuh waktu lama, bolehkah aku datang sekarang?
",maaf teman kamar butuh,22,4
